Date,Open,High,Low,Close,Volume_base,Volume_quote,compound,positive,negative,neutral,comp_score
2022-05-24 16:30:00,2780.0,2785.77,2766.66,2766.66,5.3383,14825.934981,-0.3182,0.05,0.089,0.861,0
2022-05-24 16:45:00,2768.84,2768.84,2756.66,2762.4,5.1553,14229.342394,-0.3182,0.05,0.089,0.861,0
2022-05-24 17:00:00,2760.57,2766.66,2753.0,2764.71,2.6573,7332.358593,-0.3182,0.05,0.089,0.861,0
2022-05-24 17:15:00,2757.6,2757.6,2747.7,2751.62,0.941,2588.673202,-0.3182,0.05,0.089,0.861,0
2022-05-24 17:30:00,2749.86,2751.68,2732.28,2740.38,7.6099,20825.161386,-0.3182,0.05,0.089,0.861,0
2022-05-24 17:45:00,2737.95,2753.87,2735.92,2750.69,17.1937,47303.14111,-0.3182,0.05,0.089,0.861,0
2022-05-24 18:00:00,2750.44,2765.38,2748.93,2760.72,49.3234,136014.995084,-0.3182,0.05,0.089,0.861,0
2022-05-24 18:15:00,2760.49,2780.0,2758.63,2771.13,12.3054,34104.134565,-0.3182,0.05,0.089,0.861,0
2022-05-24 18:30:00,2768.63,2770.72,2759.32,2767.64,5.8977,16299.10068,-0.3182,0.05,0.089,0.861,0
2022-05-24 18:45:00,2764.02,2773.33,2750.0,2752.38,6.1664,17023.241913,-0.3182,0.05,0.089,0.861,0
2022-05-24 19:00:00,2752.73,2752.73,2736.78,2741.71,10.2021,27970.991419,-0.3182,0.05,0.089,0.861,0
2022-05-24 19:15:00,2741.95,2752.35,2740.16,2744.27,13.2652,36444.30782,-0.3182,0.05,0.089,0.861,0
2022-05-24 19:30:00,2746.61,2764.29,2740.11,2756.6,4.2928,11821.300718,-0.3182,0.05,0.089,0.861,0
2022-05-24 19:45:00,2759.47,2769.96,2758.32,2764.01,7.8259,21651.950709,-0.3182,0.05,0.089,0.861,0
2022-05-24 20:00:00,2762.51,2768.42,2755.6,2757.95,8.4111,23251.86709,-0.3182,0.05,0.089,0.861,0
2022-05-24 20:15:00,2757.9,2761.52,2754.08,2757.51,3.3922,9352.798387,-0.3182,0.05,0.089,0.861,0
2022-05-24 20:30:00,2758.58,2760.19,2746.11,2753.33,9.127,25144.14781,-0.3182,0.05,0.089,0.861,0
2022-05-24 20:45:00,2756.04,2760.0,2752.36,2758.28,4.2095,11610.02307,-0.3182,0.05,0.089,0.861,0
2022-05-24 21:00:00,2760.95,2774.36,2760.95,2769.72,5.0102,13856.455272,-0.3182,0.05,0.089,0.861,0
2022-05-24 21:15:00,2774.02,2782.0,2770.33,2782.0,10.6319,29511.719754,-0.3182,0.05,0.089,0.861,0
2022-05-24 21:30:00,2779.14,2779.14,2773.19,2778.65,2.6362,7316.414893,-0.3182,0.05,0.089,0.861,0
2022-05-24 21:45:00,2775.84,2775.84,2769.92,2775.02,2.2777,6314.617847,-0.3182,0.05,0.089,0.861,0
2022-05-24 22:00:00,2780.0,2794.93,2774.96,2789.25,3.1501,8762.838623,-0.3182,0.05,0.089,0.861,0
2022-05-24 22:15:00,2793.33,2795.44,2787.72,2794.78,9.9447,27774.83548,-0.3182,0.05,0.089,0.861,0
2022-05-24 22:30:00,2794.29,2795.16,2784.03,2785.54,6.2923,17548.694897,-0.3182,0.05,0.089,0.861,0
2022-05-24 22:45:00,2784.27,2785.27,2781.46,2781.46,40.2147,111958.026509,-0.3182,0.05,0.089,0.861,0
2022-05-24 23:00:00,2784.14,2788.8,2783.8,2785.73,4.726,13160.292944,-0.3182,0.05,0.089,0.861,0
2022-05-24 23:15:00,2789.26,2796.83,2784.69,2792.98,6.5467,18264.662798,-0.3182,0.05,0.089,0.861,0
2022-05-24 23:30:00,2797.28,2799.09,2785.06,2787.36,6.9547,19414.461342,-0.3182,0.05,0.089,0.861,0
2022-05-24 23:45:00,2787.22,2789.03,2780.88,2782.88,11.2409,31283.280279,-0.3182,0.05,0.089,0.861,0
2022-05-25 00:00:00,2782.2,2790.37,2782.2,2787.66,7.9072,22043.268453,-0.3182,0.05,0.089,0.861,0
2022-05-25 00:15:00,2787.66,2794.47,2779.82,2779.82,19.4679,54281.70089,-0.3182,0.05,0.089,0.861,0
